Timepoint,Date,Time,HoursExposure,Treatment,Tank,Replicate,Larvae.per.mL
Day 1 am,20210615,845,0,Ambient,A1,1,0.88
Day 1 am,20210615,845,0,Ambient,A1,2,1.52
Day 1 am,20210615,845,0,Ambient,A1,3,1.2
Day 1 am,20210615,845,0,Ambient,A1,4,1.04
Day 1 am,20210615,845,0,Ambient,A1,5,1
Day 1 am,20210615,845,0,Ambient,A1,6,0.8
Day 1 am,20210615,855,0,Ambient,A2,1,1.88
Day 1 am,20210615,855,0,Ambient,A2,2,0.8
Day 1 am,20210615,855,0,Ambient,A2,3,1.04
Day 1 am,20210615,855,0,Ambient,A2,4,0.4
Day 1 am,20210615,855,0,Ambient,A2,5,0.92
Day 1 am,20210615,855,0,Ambient,A2,6,0.6
Day 1 am,20210615,905,0,Ambient,A3,1,0.96
Day 1 am,20210615,905,0,Ambient,A3,2,0.32
Day 1 am,20210615,905,0,Ambient,A3,3,0.56
Day 1 am,20210615,905,0,Ambient,A3,4,0.6
Day 1 am,20210615,905,0,Ambient,A3,5,1
Day 1 am,20210615,905,0,Ambient,A3,6,1.16
Day 1 am,20210615,910,0,Ambient,A4,1,0.68
Day 1 am,20210615,910,0,Ambient,A4,2,1.2
Day 1 am,20210615,910,0,Ambient,A4,3,1.24
Day 1 am,20210615,910,0,Ambient,A4,4,0.6
Day 1 am,20210615,910,0,Ambient,A4,5,0.68
Day 1 am,20210615,910,0,Ambient,A4,6,1.16
Day 1 am,20210615,915,0,Ambient,A5,1,1.24
Day 1 am,20210615,915,0,Ambient,A5,2,1.12
Day 1 am,20210615,915,0,Ambient,A5,3,0.68
Day 1 am,20210615,915,0,Ambient,A5,4,0.84
Day 1 am,20210615,915,0,Ambient,A5,5,1.28
Day 1 am,20210615,915,0,Ambient,A5,6,1.04
Day 1 am,20210615,925,0,Ambient,A6,1,1.68
Day 1 am,20210615,925,0,Ambient,A6,2,1.12
Day 1 am,20210615,925,0,Ambient,A6,3,1.2
Day 1 am,20210615,925,0,Ambient,A6,4,0.56
Day 1 am,20210615,925,0,Ambient,A6,5,1.32
Day 1 am,20210615,925,0,Ambient,A6,6,0.92
Day 1 am,20210615,935,0,High,H1,1,1.04
Day 1 am,20210615,935,0,High,H1,2,1.36
Day 1 am,20210615,935,0,High,H1,3,0.96
Day 1 am,20210615,935,0,High,H1,4,1.24
Day 1 am,20210615,935,0,High,H1,5,0.96
Day 1 am,20210615,935,0,High,H1,6,1.12
