Squares_counted,TubeID.x,Sample.ID,Treatment,cells.ugprotein
2,A-Symb,A,Ambient,1328.9339718918495
4,B-Symb,B,Ambient,660.9015953332043
3,C-Symb,C,Ambient,812.5326188122767
3,D-Symb,D,Ambient,882.2459875728341
3,E-Symb,E,Ambient,1266.5167414197556
9,F-Symb,F,Ambient,967.9715449328445
6,G-Symb,G,Ambient,698.125051371296
3,I-Symb,I,Ambient,633.8246544656572
3,J-Symb,J,Ambient,1335.9364829521899
3,K-Symb,K,Ambient,989.0436162822602
3,L-Symb,L,Ambient,1760.6071847983055
4,M-Symb,M,High,1250.2728244231755
2,N-Symb,N,High,1233.8440463847217
3,O-Symb,O,High,1107.0171230397495
4,P-Symb,P,High,845.9373301313676
1,Q-Symb,Q,High,1297.4987791366075
3,R-Symb,R,High,1120.2071617965146
4,S-Symb,S,High,950.0232493894839
4,T-Symb,T,High,1134.4242090231282
2,U-Symb,U,High,1376.0337944358384
2,V-Symb,V,High,2103.0736214709787
3,W-Symb,W,High,1125.156385396089
9,X-Symb,X,High,562.8508490630288
