Sample.ID,Treatment,Fraction,Carb.prot
A,Ambient,Host,4.524916110451268
B,Ambient,Host,4.337013424192405
C,Ambient,Host,5.409194301255915
D,Ambient,Host,2.97856611971488
E,Ambient,Host,4.020783989388966
F,Ambient,Host,2.329938933072098
G,Ambient,Host,2.548450490739596
I,Ambient,Host,4.303350451127008
J,Ambient,Host,5.818704369695636
K,Ambient,Host,4.538576992780193
M,High,Host,3.703005903064988
N,High,Host,2.979059371636829
O,High,Host,6.209303302710375
P,High,Host,6.945437261208939
Q,High,Host,5.4866436014975495
R,High,Host,2.7858248954484344
S,High,Host,3.6380952159869704
T,High,Host,6.46988081364822
U,High,Host,6.075407092552004
V,High,Host,5.340095188727391
W,High,Host,5.630563493124175
X,High,Host,5.2384363862384555
