Well,Chl:630
A1,0.03
B1,0.032
C1,0.031
D1,0.032
E1,0.033
F1,0.028
G1,0.029
H1,0.029
A2,0.03
B2,0.034
C2,0.032
D2,0.033
E2,0.033
F2,0.029
G2,0.028
H2,0.029
A3,0.035
B3,0.031
C3,0.035
D3,0.032
E3,0.03
F3,0.03
G3,0.034
H3,0.031
A4,0.033
B4,0.03
C4,0.037
D4,0.032
E4,0.03
F4,0.03
G4,0.029
H4,0.032
A5,0.033
B5,0.034
C5,0.034
D5,0.038
E5,0.033
F5,0.034
G5,0.03
H5,0.033
A6,0.033
B6,0.034
C6,0.033
D6,0.034
E6,0.029
F6,0.032
G6,0.028
H6,0.03
A7,0.033
B7,0.033
C7,0.036
D7,0.044
E7,0.03
F7,0.029
G7,0.029
H7,0.028
A8,0.033
B8,0.034
C8,0.038
D8,0.036
E8,0.028
F8,0.028
G8,0.028
H8,0.028
A9,0.038
B9,0.032
C9,0.033
D9,0.028
E9,0.028
F9,0.03
G9,0.028
H9,0.028
A10,0.035
B10,0.036
C10,0.035
D10,0.029
E10,0.031
F10,0.029
G10,0.028
H10,0.03
A11,0.034
B11,0.038
C11,0.035
D11,0.034
E11,0.029
F11,0.03
G11,0.032
H11,0.032
A12,0.038
B12,0.038
C12,0.033
D12,0.033
E12,0.033
F12,0.028
G12,0.029
H12,0.035
