"","Compound","term","df","sumsq","statistic","p.value","adj_pvalues"
"1","Aconitate","treatment:Position",5,0.00239531859148713,7.1169473841639,2.77141001914334e-05,7.80726481002575e-05
"2","AMP","treatment:Position",9,4.49272058857021e-05,4.31411190703113,9.25310715646133e-05,0.000245685948637077
"3","Arginine-Glutamine","treatment:Position",10,0.0159829140559323,8.94204226608777,1.23881622840059e-10,4.9339060131127e-10
"4","Citrulline","treatment:Position",5,0.0318275692258107,5.5717350753934,0.000279096548621949,0.000708475854194178
"5","Fructose-6-phosphate","treatment:Position",5,0.00205370113296661,5.57602919759163,0.000277255462544832,0.000708475854194178
"6","Glucose","treatment:Position",5,0.0020358283495592,4.41409316204564,0.00172863417963849,0.00383956245669702
"7","Glucose-6-phosphate","treatment:Position",5,0.00224186156621117,7.58620918700097,1.41389392847206e-05,4.08261871846307e-05
"8","Glutamine","treatment:Position",4,0.00110968054649935,19.921584157149,7.34030199910433e-10,2.82601626965517e-09
"9","Glycerophosphocholine","treatment:Position",9,0.00044362021833444,12.3839014498775,5.49713980444944e-13,2.35155424968115e-12
"10","Guanosine","treatment:Position",9,4.9807121090845e-05,3.51120288648327,0.000820434875786711,0.00193388220721153
"11","Isocitrate","treatment:Position",5,0.00109504844185808,2.7705424385458,0.0256635172538877,0.0498174158457819
"12","L-arginino-succinate","treatment:Position",9,0.0543795668592577,31.5111820814563,2.01784624102113e-25,1.55374160558627e-24
"13","Leucine","treatment:Position",5,7.1549304826241e-05,3.33498355207156,0.0100646909630673,0.0211358510224413
"14","NAD+","treatment:Position",20,0.0119371517291698,4.36308625639008,1.86376804403802e-08,6.52318815413308e-08
"15","Pantothenate","treatment:Position",8,4.49330475230385e-05,3.04558575172337,0.00445563203190896,0.00944266971899972
"16","Phenylalanine","treatment:Position",8,2.57608069499098e-05,19.1585079027319,1.65903331475685e-16,7.98409782726736e-16
"17","Pyruvate","treatment:Position",2,0.0011802208397203,5.08004463316285,0.0125863202748386,0.0258514607625075
"18","Sorbitol","treatment:Position",5,0.000231898984916035,4.06349578376478,0.00304672801890415,0.00663956766383829
"19","Thymidine","treatment:Position",9,1.84694201195659e-05,2.49865945800988,0.0127578637529258,0.0258514607625075
"20","Tryptophan","treatment:Position",10,0.000809617350665643,4.79518618136365,1.04425351050245e-05,3.05345013830463e-05
"21","UDP-D-Glucose","treatment:Position",14,0.0153644245129425,4.28857492338266,2.36327692980127e-06,7.27889294378792e-06
"22","UDP-N-acetyl-glucosamine","treatment:Position",16,0.00145995805612744,2.08249680391847,0.0110999605546844,0.0230999179111
