"","Date","Sample.ID","Chamber.ID","Plate","Cross","Temperature","Type","Salinity","Run","Volume","Org.Number","Notes","Resp.Intercept","R.umol.L.min","Photo.Intercept","P.umol.L.min","R.umol.min","P.umol.min","R.Blank.umol.min","P.Blank.umol.min","R.umol.min.corr","P.umol.min.corr","R.umol.org.min","R.nmol.org.min","P.umol.org.min","P.nmol.org.min","GP.umol.min.corr","GP.umol.org.min","GP.nmol.org.min"
"1",20210616,1,"A1",710,"4x210",27,"Sample",34,1,8e-05,6,NA,227.328576926302,-0.651275600709558,203.688741874428,0.304236174693281,-5.21020480567646e-05,2.43388939754625e-05,-3.04389979643027e-05,5.89283662598634e-06,-2.16630500924619e-05,1.84460573494761e-05,-3.61050834874365e-06,-0.00361050834874365,3.07434289157936e-06,0.00307434289157936,4.0109107441938e-05,6.68485124032301e-06,0.00668485124032301
"2",20210616,7,"B1",710,"222x4",27,"Sample",34,1,8e-05,6,NA,234.645158285715,-1.16057142857143,235.92979050278,-0.882110926283926,-9.28457142857144e-05,-7.05688741027141e-05,-3.04389979643027e-05,5.89283662598634e-06,-6.24067163214117e-05,-7.64617107287004e-05,-1.04011193869019e-05,-0.0104011193869019,-1.27436184547834e-05,-0.0127436184547834,-1.40549944072888e-05,-2.34249906788146e-06,-0.00234249906788146
"3",20210616,2,"A2",710,"222x210",27,"Sample",34,1,8e-05,6,NA,251.704150760784,-1.06621900452489,214.327452498627,0.670601080388208,-8.52975203619912e-05,5.36480864310566e-05,-3.04389979643027e-05,5.89283662598634e-06,-5.48585223976885e-05,4.77552498050703e-05,-9.14308706628141e-06,-0.00914308706628141,7.95920830084505e-06,0.00795920830084505,0.000102613772202759,1.71022953671265e-05,0.0171022953671265
"4",20210616,8,"B2",710,"210x4",27,"Sample",34,1,8e-05,6,NA,211.562783983229,-0.74801483631673,219.42685209044,-0.161864156405753,-5.98411869053384e-05,-1.29491325124602e-05,-3.04389979643027e-05,5.89283662598634e-06,-2.94021889410357e-05,-1.88419691384466e-05,-4.90036482350594e-06,-0.00490036482350594,-3.1403281897411e-06,-0.0031403281897411,1.05602198025891e-05,1.76003663376485e-06,0.00176003663376485
"5",20210616,14,"C2",710,"222x210",27,"Sample",34,1,8e-05,6,NA,264.592517866551,-1.67941380807642,204.957369747662,0.627536286636088,-0.000134353104646114,5.0202902930887e-05,-3.04389979643027e-05,5.89283662598634e-06,-0.000103914106681811,4.43100663049007e-05,-1.73190177803018e-05,-0.0173190177803018,7.38501105081678e-06,0.00738501105081678,0.000148224172986712,2.47040288311186e-05,0.0247040288311186
"6",20210616,9,"B3",710,"4x210",27,"Sample",34,1,8e-05,6,NA,184.290911110664,-1.59624279007378,165.712887955915,-1.00430150494667,-0.000127699423205902,-8.03441203957336e-05,-3.04389979643027e-05,5.89283662598634e-06,-9.72604252415997e-05,-8.62369570217199e-05,-1.62100708735999e-05,-0.0162100708735999,-1.43728261702867e-05,-0.0143728261702867,1.10234682198797e-05,1.83724470331329e-06,0.00183724470331329
"7",20210616,15,"C3",710,"4x210",27,"Sample",34,1,8e-05,6,NA,126.796577668118,-1.01215287856797,128.676891448576,-0.136997641937239,-8.09722302854376e-05,-1.09598113549791e-05,-3.04389979643027e-05,5.89283662598634e-06,-5.05332323211349e-05,-1.68526479809655e-05,-8.42220538685581e-06,-0.00842220538685581,-2.80877466349424e-06,-0.00280877466349424,3.36805843401694e-05,5.61343072336157e-06,0.00561343072336157
"8",20210616,21,"D3",710,"222x210",27,"Sample",34,1,8e-05,6,NA,264.655756060618,-1.18511890674505,177.606308765239,1.02967647295233,-9.4809512539604e-05,8.23741178361864e-05,-3.04389979643027e-05,5.89283662598634e-06,-6.43705145753013e-05,7.64812812102001e-05,-1.07284190958835e-05,-0.0107284190958835,1.27468802017e-05,0.0127468802017,0.000140851795785501,2.34752992975836e-05,0.0234752992975836
"9",20210616,4,"A4",710,"4x210",27,"Sample",34,1,8e-05,6,NA,239.361389269805,-1.35995730893844,200.180860139106,0.232249325604085,-0.000108796584715075,1.85799460483268e-05,-3.04389979643027e-05,5.89283662598634e-06,-7.83575867507725e-05,1.26871094223405e-05,-1.30595977917954e-05,-0.0130595977917954,2.11451823705674e-06,0.00211451823705674,9.10446961731129e-05,1.51741160288522e-05,0.0151741160288522
"10",20210616,10,"B4",710,"222x210",27,"Sample",34,1,8e-05,6,NA,226.220117338583,-1.03447291519271,191.422914690804,0.531088118991474,-8.27578332154168e-05,4.24870495193179e-05,-3.04389979643027e-05,5.89283662598634e-06,-5.23188352511141e-05,3.65942128933316e-05,-8.71980587518568e-06,-0.00871980587518568,6.09903548222193e-06,0.00609903548222193,8.89130481444456e-05,1.48188413574076e-05,0.0148188413574076
