"","Date","Run","Sample.ID","Chamber.ID","Intercept","umol.L.min"
"2","20210616","Run1","1","A1",227.328576926302,-0.651275600709558
"3","20210616","Run1","7","B1",234.645158285715,-1.16057142857143
"4","20210616","Run1","13","C1",212.256129417207,-0.307770582793719
"5","20210616","Run1","19","D1",217.32687494178,-0.359123981900461
"6","20210616","Run1","2","A2",251.704150760784,-1.06621900452489
"7","20210616","Run1","8","B2",211.562783983229,-0.74801483631673
"8","20210616","Run1","14","C2",264.592517866551,-1.67941380807642
"9","20210616","Run1","20","D2",208.514100149009,-0.284930963773066
"10","20210616","Run1","3","A3",221.630976147899,-0.570124369747891
"11","20210616","Run1","9","B3",184.290911110664,-1.59624279007378
"12","20210616","Run1","15","C3",126.796577668118,-1.01215287856797
"13","20210616","Run1","21","D3",264.655756060618,-1.18511890674505
"14","20210616","Run1","4","A4",239.361389269805,-1.35995730893844
"15","20210616","Run1","10","B4",226.220117338583,-1.03447291519271
"16","20210616","Run1","16","C4",273.431899505245,-1.96722202797203
"17","20210616","Run1","22","D4",208.075983426758,-1.62346906398731
"18","20210616","Run1","5","A5",223.692906634414,-1.03952910820836
"19","20210616","Run1","11","B5",218.305927175859,-1.23644775292995
"20","20210616","Run1","17","C5",288.219884260989,-1.88657417582417
"21","20210616","Run1","23","D5",218.460652585569,-1.36062442183164
"22","20210616","Run1","6","A6",246.18064886679,-1.09553654024052
"23","20210616","Run1","18","C6",194.03406057444,-0.576453227931488
"24","20210616","Run1","24","D6",285.65127162614,-3.14803082935302
"25","20210616","Run2","1","A1",261.283065503423,-0.779775579281895
"26","20210616","Run2","7","B1",235.956761455315,-1.84396404019038
"27","20210616","Run2","13","C1",234.740144364275,-0.474888420065629
"28","20210616","Run2","19","D1",230.42685759846,-0.469112413612108
"29","20210616","Run2","2","A2",252.497135832653,-1.33974285714285
"30","20210616","Run2","8","B2",256.411847210909,-1.46690731827718
"31","20210616","Run2","14","C2",270.622043910204,-3.44111836734694
"32","20210616","Run2","20","D2",237.401973366345,-0.352695295825149
"33","20210616","Run2","3","A3",243.751686575462,-0.425623578324136
"34","20210616","Run2","9","B3",141.644881515878,-1.65992686554107
"35","20210616","Run2","15","C3",228.089058095145,-1.35484507134228
"36","20210616","Run2","21","D3",282.605447513986,-1.50652797202797
"37","20210616","Run2","4","A4",290.956959245779,-2.93270919324578
"38","20210616","Run2","10","B4",285.017299962725,-1.64253464062879
"39","20210616","Run2","16","C4",297.942464736022,-2.32727710184552
"40","20210616","Run2","22","D4",215.241904773919,-0.71648902472909
"41","20210616","Run2","5","A5",254.043836351399,-1.45013811188811
"42","20210616","Run2","11","B5",211.255243543543,-1.36126126126126
"43","20210616","Run2","17","C5",340.953047312533,-2.42316446324696
"44","20210616","Run2","23","D5",269.957592682701,-1.50052728954672
"45","20210616","Run2","6","A6",277.607111894031,-1.22126224010731
"46","20210616","Run2","18","C6",222.427993428165,-1.004466571835
"47","20210616","Run2","24","D6",209.460512337858,-1.97140271493212
"48","20210617","Run3","1","A1",237.658377330211,-0.245586361461567
