Squares_counted,Tube.ID,Sample.ID,cells,cells.uL,cells.ugprotein,Resuspension_volume,Treatment
2,A-Symb,A,218750,875,1328.9339718918495,250,Ambient
4,B-Symb,B,84416.66666666669,422.0833333333334,660.9015953332043,200,Ambient
3,C-Symb,C,123333.33333333333,616.6666666666666,812.5326188122767,200,Ambient
3,D-Symb,D,56166.666666666664,374.4444444444444,882.2459875728341,150,Ambient
3,E-Symb,E,87888.8888888889,439.4444444444445,1266.5167414197556,200,Ambient
9,F-Symb,F,28888.88888888889,144.44444444444446,967.9715449328445,200,Ambient
6,G-Symb,G,50611.111111111124,253.05555555555563,698.125051371296,200,Ambient
9,H-Symb,H,3361.1111111111113,22.40740740740741,-14631.789668712887,150,Ambient
3,I-Symb,I,79416.66666666667,529.4444444444445,633.8246544656572,150,Ambient
3,J-Symb,J,111555.55555555558,557.7777777777778,1335.9364829521899,200,Ambient
3,K-Symb,K,101888.8888888889,509.4444444444445,989.0436162822602,200,Ambient
3,L-Symb,L,140000,560,1760.6071847983055,250,Ambient
4,M-Symb,M,146625,488.75,1250.2728244231755,300,High
2,N-Symb,N,121000,605,1233.8440463847217,200,High
3,O-Symb,O,159722.22222222222,638.8888888888889,1107.0171230397495,250,High
4,P-Symb,P,66416.66666666667,332.08333333333337,845.9373301313676,200,High
1,Q-Symb,Q,258666.66666666672,1293.3333333333335,1297.4987791366075,200,High
3,R-Symb,R,122777.77777777778,613.8888888888889,1120.2071617965146,200,High
4,S-Symb,S,77666.66666666667,388.33333333333337,950.0232493894839,200,High
4,T-Symb,T,82666.66666666669,413.3333333333334,1134.4242090231282,200,High
2,U-Symb,U,212500,1062.5,1376.0337944358384,200,High
2,V-Symb,V,230333.33333333337,1151.666666666667,2103.0736214709787,200,High
3,W-Symb,W,122666.66666666669,613.3333333333335,1125.156385396089,200,High
9,X-Symb,X,41629.629629629635,208.14814814814818,562.85084906303,200,High
